Sample Index,Raw Value
0,105217
1,109229
2,114843
3,118859
4,121330
5,119490
6,123179
7,126828
8,127581
9,128228
10,125275
11,122748
12,120417
13,118618
14,120320
15,125274
16,120935
17,113844
18,109850
19,107426
20,105607
21,103311
22,100538
23,97946
24,97762
25,97243
26,98510
27,97777
28,96589
29,95343
30,97291
31,98252
32,98199
33,95867
34,93566
35,91412
36,89591
37,90607
38,91090
39,91576
40,90859
41,91297
42,92646
43,97363
44,99129
45,102707
46,103995
47,101605
48,100866
49,100995
50,98174
51,96099
52,96951
53,100965
54,104960
55,111527
56,115847
57,118438
58,120762
59,124426
60,126407
61,122558
62,118403
63,114280
64,111447
65,108407
66,107393
67,104151
68,101895
69,101548
70,101888
71,98837
72,95901
73,93364
74,90345
75,87058
76,82302
77,82175
78,80175
79,80136
80,80313
81,81108
82,85740
83,85625
84,86297
85,89042
86,90459
87,93317
88,95044
89,98408
90,100687
91,102522
92,103452
93,109475
94,119129
95,117246
96,112571
97,111715
98,111483
99,110445
100,109483
101,109969
102,109633
103,111612
104,116070
105,120473
106,124493
107,129242
108,131962
109,132692
110,133197
111,130285
112,125617
113,120500
114,114234
115,108781
116,103213
117,100129
118,98532
119,97675
120,98436
121,96294
122,94450
123,93701
124,91535
125,90424
126,88813
127,86915
128,84924
129,83134
130,81017
131,80598
132,81226
133,80463
134,81460
135,81337
136,80666
137,81130
138,82866
139,82951
140,83662
141,84436
142,83484
143,82794
144,82213
145,87595
146,95349
147,97020
148,92449
149,85245
150,81777
151,80798
152,83649
153,88296
154,93556
155,98608
156,105061
157,110404
158,114803
159,118839
160,121401
161,125429
162,128254
163,129960
164,127753
165,120553
166,115838
167,113922
168,112875
169,110587
170,109665
171,111399
172,114514
173,117955
174,115516
175,114181
176,111995
177,109474
178,105460
179,100558
180,96739
181,95177
182,91863
183,91371
184,89917
185,89333
186,89461
187,88331
188,86566
189,84530
190,84430
191,83376
192,81445
193,81356
194,80058
195,78077
196,80368
197,82053
198,83047
199,85278
200,86762
201,87738
202,90350
203,92001
204,94040
205,97454
206,101658
207,104585
208,108529
209,111761
210,111973
211,112768
212,114732
213,114757
214,114982
215,112843
216,112417
217,111752
218,107310
219,105020
220,103045
221,99933
222,98727
223,97072
224,95135
225,91926
226,89385
227,89709
228,87246
229,88524
230,88392
231,88381
232,88175
233,90815
234,92715
235,92318
236,92295
237,93023
238,93707
239,94403
240,94570
241,94455
242,95435
243,93769
244,89456
245,84571
246,80731
247,78668
248,79266
249,79387
250,80965
251,83678
252,90600
253,87494
254,82426
255,80706
256,81577
257,82531
258,85214
259,86907
260,91343
261,96301
262,99077
263,100676
264,102444
265,103359
266,103278
267,103301
268,102928
269,98873
270,96623
271,94512
272,91066
273,88959
274,88225
275,87734
276,84532
277,82325
278,80730
279,79228
280,77259
281,73775
282,73103
283,71716
284,70817
285,68220
286,68217
287,69937
288,67699
289,66733
290,67123
291,68997
292,68567
293,66464
294,69266
295,72892
296,73956
297,74295
298,76678
299,80227
300,82617
301,85983
302,85895
303,85335
304,85985
305,85864
306,85721
307,88359
308,92932
309,99940
310,106369
311,111512
312,114851
313,117206
314,119260
315,119743
316,119634
317,118916
318,117571
319,119640
320,117300
321,107496
322,99375
323,95259
324,90376
325,88714
326,85668
327,84126
328,81732
329,82473
330,88052
331,92873
332,93145
333,90885
334,89288
335,88180
336,87574
337,87275
338,85250
339,85250
340,83553
341,84554
342,82549
343,82254
344,80743
345,82416
346,82571
347,81514
348,83067
349,82599
350,82983
351,82287
352,82047
353,82730
354,82134
355,81070
356,80496
357,82388
358,83856
359,85169
360,89022
361,93780
362,99083
363,105648
364,112838
365,118188
366,120356
367,119500
368,118085
369,114285
370,111082
371,106801
372,104813
373,100583
374,97509
375,94176
376,92414
377,90778
378,90240
379,89696
380,88130
381,88142
382,84751
383,84120
384,81603
385,77904
386,76490
387,74347
388,74407
389,74037
390,76770
391,79620
392,81414
393,84089
394,85234
395,87462
396,86546
397,83931
398,84976
399,85875
400,85433
401,86520
402,86933
403,86461
404,85837
405,85771
406,85828
407,87820
408,91185
409,96093
410,102274
411,105225
412,106732
413,108779
414,111215
415,114334
416,119201
417,124689
418,125352
419,125042
420,121106
421,113859
422,109647
423,105874
424,102793
425,98681
426,97354
427,94319
428,91435
429,90358
430,87079
431,85091
432,83723
433,84220
434,84111
435,85109
436,85860
437,88368
438,91281
439,90440
440,93420
441,93902
442,95143
443,97610
444,94720
445,91887
446,91077
447,90109
448,90462
449,90602
450,88599
451,89002
452,87350
453,87885
454,86090
455,83606
456,83424
457,83146
458,83073
459,83735
460,84075
461,85573
462,95546
463,106193
464,108259
465,109853
466,112021
467,111568
468,112409
469,116955
470,117280
471,114250
472,110934
473,107891
474,107757
475,104314
476,100728
477,96265
478,96501
479,97818
480,96729
481,98843
482,97574
483,98168
484,101018
485,101056
486,99042
487,102616
488,110135
489,119879
490,121076
491,115263
492,112940
493,110606
494,106098
495,104621
496,102652
497,99537
498,98882
499,98988
500,99834
501,100001
502,97793
503,95785
504,96211
505,96112
506,93903
507,92965
508,93478
509,94779
510,95680
511,94070
512,92067
513,89992
514,91484
515,93655
516,97170
517,99873
518,104282
519,109448
520,111574
521,113720
522,112907
523,108947
524,103229
525,99663
526,94132
527,90035
528,86221
529,84549
530,83242
531,84007
532,85963
533,86388
534,84733
535,85590
536,84298
537,83359
538,81605
539,78983
540,81327
541,82392
542,81560
543,80914
544,82683
545,84243
546,82862
547,82739
548,84287
549,84955
550,86022
551,86714
552,84779
553,85269
554,86127
555,85745
556,87707
557,89672
558,90430
559,89116
560,89813
561,91187
562,93229
563,95853
564,99052
565,104807
566,113529
567,123093
568,134823
569,137012
570,136823
571,138131
572,137791
573,137026
574,134972
575,132285
576,129326
577,125438
578,121270
579,116952
580,112146
581,109351
582,108380
583,108470
584,107101
585,103694
586,101545
587,100409
588,97253
589,95508
590,94758
591,95557
592,93329
593,90415
594,88795
595,86367
596,84705
597,84802
598,85595
599,85539
600,85240
601,84280
602,82962
603,80835
604,79557
605,77380
606,82192
607,83418
608,84582
609,85261
610,85914
611,88483
612,89496
613,90564
614,90556
615,94557
616,99224
617,102377
618,106283
619,111567
620,115801
621,121331
622,125443
623,127808
624,127302
625,125845
626,121355
627,117157
628,114185
629,110512
630,108096
631,112018
632,118756
633,114527
634,111217
635,115741
636,108990
637,99450
638,97775
639,98808
640,96018
641,103513
642,100129
643,98123
644,102158
645,102187
646,104670
647,111930
648,120680
649,119287
650,112601
651,106018
652,101211
653,94464
654,90580
655,87071
656,84835
657,83408
658,81836
659,80115
660,80374
661,76558
662,76497
663,77696
664,80604
665,80820
666,83252
667,87040
668,91905
669,95564
670,99092
671,102813
672,106935
673,109920
674,111652
675,111071
676,108507
677,102851
678,101651
679,99452
680,98865
681,97373
682,96207
683,95546
684,93051
685,91195
686,87764
687,88563
688,87011
689,87435
690,87413
691,86580
692,87008
693,87454
694,87036
695,88082
696,87290
697,87282
698,88752
699,81022
700,69310
701,62859
702,58017
703,49605
704,43280
705,37043
706,32940
707,28731
708,22578
709,22336
710,24330
711,26801
712,29451
713,32391
714,33124
715,31944
716,30341
717,33683
718,39862
719,39127
720,44297
721,48096
722,51747
723,55229
724,58747
725,68245
726,78697
727,81474
728,72981
729,68239
730,62735
731,62089
732,59176
733,59047
734,57387
735,57396
736,59966
737,55745
738,51235
739,48485
740,42289
741,40766
742,37981
743,39063
744,39721
745,39428
746,39028
747,37937
748,39573
749,40402
750,44587
751,42380
752,41349
753,42163
754,44682
755,42010
756,37256
757,34844
758,32094
759,31638
760,31427
761,32900
762,34216
763,34013
764,31077
765,28523
766,26540
767,27135
768,29073
769,31682
770,37069
771,40129
772,48978
773,67773
774,82090
775,93665
776,104099
777,110670
778,119274
779,124653
780,120477
781,114960
782,108875
783,103046
784,100943
785,99000
786,97886
787,94193
788,90624
789,90175
790,88965
791,87640
792,87534
793,88371
794,89089
795,88459
796,87870
797,86264
798,84878
799,83914
800,83156
801,83119
802,82564
803,83096
804,88544
805,94400
806,96179
807,94240
808,92875
809,93613
810,93125
811,94069
812,95081
813,94899
814,97338
815,98986
816,100343
817,102635
818,103895
819,104588
820,106465
821,110182
822,115738
823,120533
824,123866
825,126539
826,126842
827,129743
828,130369
829,128180
830,127753
831,123907
832,118983
833,116716
834,113856
835,110404
836,106901
837,103070
838,100477
839,99365
840,99305
841,96638
842,95375
843,94918
844,96965
845,95920
846,96670
847,95897
848,95210
849,95034
850,92293
851,92814
852,93979
853,96077
854,97990
855,98617
856,97422
857,98077
858,100165
859,100366
860,102177
861,103392
862,103255
863,101513
864,102241
865,101840
866,102163
867,103745
868,104274
869,103960
870,104184
871,105329
872,109110
873,115094
874,119846
875,124988
876,127724
877,130536
878,133565
879,132618
880,130321
881,128127
882,125183
883,128075
884,131842
885,131065
886,125600
887,122722
888,120159
889,119023
890,117725
891,115809
892,114495
893,111206
894,111104
895,110574
896,110039
897,109711
898,108623
899,105942
900,107174
901,106428
902,109100
903,107210
904,102743
905,102856
906,100974
907,100539
908,99974
909,97659
910,96659
911,97677
912,95393
913,91908
914,90351
915,91661
916,93057
917,94441
918,97250
919,99049
920,101746
921,101953
922,104504
923,105391
924,108087
925,112364
926,117078
927,122030
928,125395
929,128857
930,128532
931,129251
932,129593
933,125406
934,124694
935,121224
936,117059
937,113037
938,112969
939,111664
940,111271
941,111233
942,109773
943,108526
944,107780
945,109804
946,107783
947,107415
948,105949
949,103872
950,103323
951,103004
952,102775
953,100699
954,100277
955,99546
956,101105
957,99612
958,100160
959,109248
960,110730
961,108826
962,108395
963,113473
964,116712
965,111110
966,107966
967,106918
968,105266
969,104291
970,101778
971,100901
972,102163
973,101512
974,102088
975,105035
976,109446
977,114272
978,118949
979,121100
980,122873
981,126067
982,129166
983,130069
984,127207
985,123398
986,119290
987,116413
988,114127
989,112694
990,110333
991,107784
992,106115
993,105627
994,103135
995,103044
996,103276
997,104109
998,103541
999,102049
1000,101667
1001,100509
1002,97742
1003,93537
1004,93109
1005,92270
1006,91138
1007,92493
1008,92976
1009,92723
1010,92705
1011,94079
1012,94561
1013,97056
1014,95104
1015,93168
1016,92920
1017,94117
1018,94665
1019,93941
1020,94690
1021,94502
1022,96983
1023,99853
