Sample Index,Raw Value
0,36479
1,39568
2,53553
3,61482
4,67354
5,73985
6,80778
7,87072
8,90704
9,94884
10,95049
11,94302
12,95782
13,96502
14,96529
15,96765
16,97570
17,102036
18,109043
19,116177
20,121559
21,124778
22,129335
23,130367
24,130459
25,129732
26,129013
27,123962
28,119533
29,116879
30,114252
31,112526
32,111976
33,115092
34,120400
35,120964
36,120024
37,119031
38,117363
39,115627
40,115117
41,115863
42,115982
43,115359
44,115278
45,115937
46,114666
47,113363
48,112852
49,113101
50,114379
51,115487
52,116154
53,115470
54,114411
55,112092
56,110738
57,110591
58,110575
59,111108
60,109665
61,108666
62,107346
63,104345
64,101938
65,100398
66,98774
67,99048
68,101910
69,106063
70,107132
71,108968
72,112409
73,117350
74,120451
75,122730
76,123494
77,123389
78,121067
79,120052
80,117405
81,112763
82,111634
83,108487
84,106245
85,106657
86,115113
87,120442
88,114355
89,106701
90,104224
91,101418
92,99308
93,97897
94,99937
95,99880
96,100374
97,100926
98,101779
99,103362
100,103823
101,104987
102,105402
103,104870
104,104270
105,104971
106,104062
107,103774
108,102750
109,101983
110,100934
111,103095
112,110719
113,120941
114,122196
115,117307
116,115162
117,112195
118,109892
119,107493
120,108857
121,111752
122,115223
123,119375
124,124584
125,127902
126,128890
127,128461
128,129604
129,127606
130,126277
131,123902
132,121902
133,119749
134,119430
135,116875
136,113046
137,111337
138,108453
139,104726
140,102003
141,102836
142,102949
143,101068
144,99609
145,98587
146,97353
147,97748
148,96314
149,94789
150,93720
151,93253
152,94847
153,94163
154,92246
155,92180
156,92551
157,91333
158,90200
159,90271
160,89165
161,90797
162,93133
163,95543
164,93804
165,89647
166,89811
167,91396
168,90917
169,90055
170,93078
171,96995
172,103237
173,106649
174,107686
175,109996
176,116100
177,118494
178,121982
179,122663
180,119372
181,115984
182,114247
183,111775
184,109788
185,106845
186,105554
187,103917
188,99608
189,98019
190,99120
191,101721
192,104512
193,105408
194,100858
195,95441
196,92105
197,89878
198,88800
199,88354
200,85698
201,83774
202,81320
203,82135
204,83515
205,83074
206,84940
207,87850
208,90892
209,91962
210,94270
211,94268
212,95023
213,95892
214,96598
215,98809
216,101152
217,105807
218,105108
219,101757
220,101158
221,103650
222,107305
223,111721
224,118245
225,125862
226,129586
227,132934
228,135785
229,135987
230,134764
231,132765
232,129950
233,126339
234,124161
235,122748
236,119636
237,116355
238,112958
239,112088
240,112206
241,112032
242,110946
243,108392
244,113919
245,118302
246,114597
247,107792
248,102357
249,97488
250,94369
251,95009
252,93786
253,93428
254,93162
255,93812
